"specimen"	"reagent_tissue"	"litter"	"vendor"	"mouse"	"tissue_type"	"log_IL1a"	"VEGF"	"FGF"	"IL17"	"IL2"	"MIG"	"IL4"	"cage"	"IL1a"
"127"	"Tissue_Jackson1_06_Cecum"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_6"	"Cecum"	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	"JL_1_2"	5.911100374
"128"	"Tissue_Jackson1_06_Lung"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_6"	"Lung"	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	"JL_1_2"	5.911100374
"129"	"Tissue_Jackson1_06_Nasal"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_6"	"Nasal"	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	"JL_1_2"	5.911100374
"130"	"Tissue_Jackson1_06_Tongue"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_6"	"Tongue"	0.771668334	77.42988005	659.548628	0	10.54110195	12.9486729	0	"JL_1_2"	5.911100374
"131"	"Tissue_Jackson1_07_Cecum"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_7"	"Cecum"	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	"JL_1_2"	2.285882748
"132"	"Tissue_Jackson1_07_Lung"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_7"	"Lung"	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	"JL_1_2"	2.285882748
"133"	"Tissue_Jackson1_07_Nasal"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_7"	"Nasal"	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	"JL_1_2"	2.285882748
"134"	"Tissue_Jackson1_07_Tongue"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_7"	"Tongue"	0.35905395	76.71262804	481.8299742	0	6.366398309	10.26605098	0	"JL_1_2"	2.285882748
"135"	"Tissue_Jackson1_08_Cecum"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_8"	"Cecum"	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	"JL_1_2"	6.574685028
"136"	"Tissue_Jackson1_08_Lung"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_8"	"Lung"	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	"JL_1_2"	6.574685028
"137"	"Tissue_Jackson1_08_Nasal"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_8"	"Nasal"	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	"JL_1_2"	6.574685028
"138"	"Tissue_Jackson1_08_Tongue"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_8"	"Tongue"	0.817874952	117.5741415	794.7882289	0.268937937	12.64682105	41.24596477	5.873648899	"JL_1_2"	6.574685028
"139"	"Tissue_Jackson1_09_Cecum"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_9"	"Cecum"	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	"JL_1_2"	6.049629503
"140"	"Tissue_Jackson1_09_Lung"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_9"	"Lung"	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	"JL_1_2"	6.049629503
"141"	"Tissue_Jackson1_09_Nasal"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_9"	"Nasal"	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	"JL_1_2"	6.049629503
"142"	"Tissue_Jackson1_09_Tongue"	"Tissue"	"Jackson1"	"Jackson_Labs"	"JL1_9"	"Tongue"	0.781728778	78.33356459	626.4178836	0.58025468	5.853063358	7.593231896	0	"JL_1_2"	6.049629503
"143"	"Tissue_Jackson2_10_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_10"	"Cecum"	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	"JL_2_2"	4.187217217
"144"	"Tissue_Jackson2_10_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_10"	"Lung"	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	"JL_2_2"	4.187217217
"145"	"Tissue_Jackson2_10_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_10"	"Nasal"	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	"JL_2_2"	4.187217217
"146"	"Tissue_Jackson2_10_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_10"	"Tongue"	0.621925491	59.07049873	434.6783492	0	8.156213012	10.26605098	0	"JL_2_2"	4.187217217
"147"	"Tissue_Jackson2_01_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_1"	"Cecum"	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	"JL_2_1"	15.95611523
"148"	"Tissue_Jackson2_01_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_1"	"Lung"	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	"JL_2_1"	15.95611523
"149"	"Tissue_Jackson2_01_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_1"	"Nasal"	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	"JL_2_1"	15.95611523
"150"	"Tissue_Jackson2_01_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_1"	"Tongue"	1.202927164	108.5137993	670.0864666	0.902390396	18.83168824	33.13606909	19.04510639	"JL_2_1"	15.95611523
"151"	"Tissue_Jackson2_02_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_2"	"Cecum"	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	"JL_2_1"	4.856272038
"152"	"Tissue_Jackson2_02_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_2"	"Lung"	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	"JL_2_1"	4.856272038
"153"	"Tissue_Jackson2_02_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_2"	"Nasal"	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	"JL_2_1"	4.856272038
"154"	"Tissue_Jackson2_02_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_2"	"Tongue"	0.686303007	141.5857528	845.3838162	0.58025468	11.19063269	15.62697712	8.563594451	"JL_2_1"	4.856272038
"155"	"Tissue_Jackson2_03_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_3"	"Cecum"	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	"JL_2_1"	7.890260921
"156"	"Tissue_Jackson2_03_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_3"	"Lung"	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	"JL_2_1"	7.890260921
"157"	"Tissue_Jackson2_03_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_3"	"Nasal"	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	"JL_2_1"	7.890260921
"158"	"Tissue_Jackson2_03_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_3"	"Tongue"	0.897091365	113.1894257	752.0578216	0.268937937	12.64682105	24.36740746	1.240173951	"JL_2_1"	7.890260921
"159"	"Tissue_Jackson2_04_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_4"	"Cecum"	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	"JL_2_1"	4.457209752
"160"	"Tissue_Jackson2_04_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_4"	"Lung"	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	"JL_2_1"	4.457209752
"161"	"Tissue_Jackson2_04_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_4"	"Nasal"	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	"JL_2_1"	4.457209752
"162"	"Tissue_Jackson2_04_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_4"	"Tongue"	0.649063072	88.90683543	704.1827731	0.58025468	13.16798033	12.94435521	0	"JL_2_1"	4.457209752
"163"	"Tissue_Jackson2_05_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_5"	"Cecum"	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	"JL_2_1"	7.368482595
"164"	"Tissue_Jackson2_05_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_5"	"Lung"	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	"JL_2_1"	7.368482595
"165"	"Tissue_Jackson2_05_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_5"	"Nasal"	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	"JL_2_1"	7.368482595
"166"	"Tissue_Jackson2_05_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_5"	"Tongue"	0.867378062	129.5662758	715.2171692	0.268937937	14.47600049	19.65707488	3.325631172	"JL_2_1"	7.368482595
"167"	"Tissue_Jackson2_06_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_6"	"Cecum"	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	"JL_2_2"	7.364191356
"168"	"Tissue_Jackson2_06_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_6"	"Lung"	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	"JL_2_2"	7.364191356
"169"	"Tissue_Jackson2_06_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_6"	"Nasal"	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	"JL_2_2"	7.364191356
"170"	"Tissue_Jackson2_06_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_6"	"Tongue"	0.867125065	52.61966234	562.2963449	0	10.52012184	8.931192906	0	"JL_2_2"	7.364191356
"171"	"Tissue_Jackson2_07_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_7"	"Cecum"	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	"JL_2_2"	6.313493359
"172"	"Tissue_Jackson2_07_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_7"	"Lung"	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	"JL_2_2"	6.313493359
"173"	"Tissue_Jackson2_07_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_7"	"Nasal"	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	"JL_2_2"	6.313493359
"174"	"Tissue_Jackson2_07_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_7"	"Tongue"	0.800269728	89.78255666	618.0791538	0	14.37953523	14.28469842	0	"JL_2_2"	6.313493359
"175"	"Tissue_Jackson2_08_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_8"	"Cecum"	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	"JL_2_2"	3.5214547
"176"	"Tissue_Jackson2_08_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_8"	"Lung"	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	"JL_2_2"	3.5214547
"177"	"Tissue_Jackson2_08_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_8"	"Nasal"	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	"JL_2_2"	3.5214547
"178"	"Tissue_Jackson2_08_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_8"	"Tongue"	0.546722106	99.59595176	554.5240105	0	6.881390622	6.26284878	1.19116205	"JL_2_2"	3.5214547
"179"	"Tissue_Jackson2_09_Cecum"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_9"	"Cecum"	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	"JL_2_2"	3.119303087
"180"	"Tissue_Jackson2_09_Lung"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_9"	"Lung"	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	"JL_2_2"	3.119303087
"181"	"Tissue_Jackson2_09_Nasal"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_9"	"Nasal"	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	"JL_2_2"	3.119303087
"182"	"Tissue_Jackson2_09_Tongue"	"Tissue"	"Jackson2"	"Jackson_Labs"	"JL2_9"	"Tongue"	0.494057575	105.2914134	635.8323891	0	10.18646213	19.65848441	0	"JL_2_2"	3.119303087
"183"	"LPS_01_LPS"	"LPS"	"None"	"None"	"1"	"LPS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"184"	"LPS_02_LPS"	"LPS"	"None"	"None"	"2"	"LPS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"185"	"LPS_03_LPS"	"LPS"	"None"	"None"	"3"	"LPS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"186"	"LPS_04_LPS"	"LPS"	"None"	"None"	"4"	"LPS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"187"	"LPS_05_LPS"	"LPS"	"None"	"None"	"5"	"LPS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"188"	"Control_01_PBS"	"Control"	"None"	"None"	"1"	"PBS"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"189"	"Control_02_Water"	"Control"	"None"	"None"	"2"	"Water"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"190"	"Mock_01"	"Mock"	"None"	"None"	"1"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"191"	"Mock_02"	"Mock"	"None"	"None"	"2"	"NA"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"192"	"Control_01_Water"	"Control"	"None"	"None"	"1"	"Water"	NA	NA	NA	NA	NA	NA	NA	NA	NA
